"ID","NOMBRE_EMP","NOMBRE_FAE","REGIÓN_IN","PROVINCIA","COMUNA_INS","NOMBRE_INS","TIPO_INSTA","RECOBRERSO","UTM_NORTE","UTM_ESTE","LATITUD","LONGITUD","ESTADO_INS","METODO_CONS","NEAR_DIST","VOL_AUTORIZADO","VOL_ACTUAL","TOS/IUTORIZADO","TOS/ICTUAL","RES_APRUEBA","RES_PDC_APRUEBA","RES_PDC_FECHA","RES_APRUEBA_FECHA"
"657","SOC. MINERA LORENZO ZAZZALI","PLANTA LAS BOMBAS","III","CHAÑARAL","CHAÑARAL","LAS BOMBAS 3","TRANQUE DE RELAVE","ORO-COBRE","7119786.31","356360.74","-26.0338","-70.4356","ABANDONADO","EJE CENTRAL","39139.621723517","10300","0","15450","0","S/I","S/I","S/I","S/I"
"658","SOC. MINERA LORENZO ZAZZALI","PLANTA LAS BOMBAS","III","CHAÑARAL","CHAÑARAL","LAS BOMBAS 2","TRANQUE DE RELAVE","ORO-COBRE","7119762.50","356396.19","-26.0340","-70.4352","ABANDONADO","EJE CENTRAL","39134.65544132","1800","0","2700","0","S/I","S/I","S/I","S/I"
"659","EDUARDO PAREDES MARTINEZ","PLANTA OMEGA","III","CHAÑARAL","DIEGO DE ALMAGRO","OMEGA 3","TRANQUE DE RELAVE","ORO","7041016.51","409161.42","-26.7492","-69.9135","ABANDONADO","AGUAS ARRIBA","41945.031206572","1300","0","1950","0","S/I","S/I","S/I","S/I"
"660","EDUARDO PAREDES MARTINEZ","PLANTA OMEGA","III","CHAÑARAL","DIEGO DE ALMAGRO","OMEGA 2","TRANQUE DE RELAVE","ORO","7041028.02","409115.38","-26.7491","-69.9140","ABANDONADO","AGUAS ARRIBA","41919.245814526","30100","0","43645","0","S/I","S/I","S/I","S/I"
"661","CIA. MINERA SAN ESTEBAN","PLANTA SAN ESTEBAN","III","COPIAPO","COPIAPO","SAN ESTEBAN 1","TRANQUE DE RELAVE","COBRE","6969133.64","370234.78","-27.3950","-70.3125","INACTIVO","S/I","4086.2877043705","67200","0","100800","0","S/I","S/I","S/I","S/I"
"662","CIA. MINERA SAN ESTEBAN","PLANTA SAN ESTEBAN","III","COPIAPO","COPIAPO","SAN ESTEBAN 2A","TRANQUE DE RELAVE","COBRE","6969053.47","370187.16","-27.3957","-70.3130","INACTIVO","EJE CENTRAL","4119.6374749988","48000","0","72000","0","573","S/I","S/I","6/2/1986"
"663","MIGUEL DAY","PLANTA DAY","III","COPIAPO","COPIAPO","DAY","TRANQUE DE RELAVE","COBRE-ORO","6969252.06","367197.24","-27.3936","-70.3432","INACTIVO","AGUAS ARRIBA","3095.6497833474","17600","0","26400","0","828","S/I","S/I","8/9/1984"
"664","CARLOS VALDIVIA","PLANTAS EL PINGO Y SANTA MARIA","IV","LIMARI","MONTE PATRIA","EL PINGO 2","TRANQUE DE RELAVE","COBRE","6586400.07","348584.19","-30.8459","-70.5834","INACTIVO","AGUAS ABAJO","39481.845383222","24000","0","36000","0","11","S/I","S/I","1/4/1989"
"665","LUIS CORTES JARA","PLANTA MARIA ISABEL","III","COPIAPO","TIERRA AMARILLA","MARIA ISABEL 2","TRANQUE DE RELAVE","COBRE","6963183.18","374432.35","-27.4491","-70.2706","INACTIVO","AGUAS ARRIBA","3329.5968701467","3000","0","4500","0","S/I","S/I","S/I","S/I"
"666","LUIS CORTES JARA","PLANTA MARIA ISABEL","III","COPIAPO","TIERRA AMARILLA","MARIA ISABEL 1","TRANQUE DE RELAVE","COBRE","6963220.22","374422.76","-27.4487","-70.2707","INACTIVO","AGUAS ARRIBA","3367.6855877655","1300","0","1950","0","S/I","S/I","S/I","S/I"
"667","CIA. MINERA HIERRO VIEJO","PLANTA HIERRO VIEJO","V","PETORCA","PETORCA","HIERRO VIEJO 2","TRANQUE DE RELAVE","COBRE","6426964.95","310069.05","-32.2780","-71.0167","ABANDONADO","S/I","8169.9718596459","5720","0","8580","0","S/I","S/I","S/I","S/I"
"668","MINERA LAS CENIZAS S.A.","LAS CENIZAS CABILDO","V","PETORCA","CABILDO","LAS CENIZAS 1","TRANQUE DE RELAVE","COBRE","6409833.81","304318.08","-32.4314","-71.0813","INACTIVO","AGUAS ARRIBA","1073.3214728003","414000","0","621000","0","S/I","1956","8/3/2015","S/I"
"669","MINERA LAS CENIZAS S.A.","LAS CENIZAS CABILDO","V","PETORCA","CABILDO","LAS CENIZAS 2","TRANQUE DE RELAVE","COBRE","6409700.46","304188.97","-32.4326","-71.0827","INACTIVO","AGUAS ARRIBA","1229.7146021585","944238","0","1416357","0","S/I","1956","8/3/2015","S/I"
"670","SLM LAS CENIZAS","PLANTA LOS MAQUIS","V","PETORCA","CABILDO","LOS MAQUIS 1","TRANQUE DE RELAVE","COBRE","6406258.80","305553.80","-32.4639","-71.0689","INACTIVO","AGUAS ARRIBA","3779.6897629841","30000","0","45000","0","172","S/I","S/I","2/15/1995"
"671","CARLOS VALDIVIA","PLANTAS EL PINGO Y SANTA MARIA","IV","LIMARI","MONTE PATRIA","EL PINGO 0","TRANQUE DE RELAVE","COBRE","6586435.79","348614.62","-30.8456","-70.5831","INACTIVO","AGUAS ABAJO","39495.28034073","14700","0","22050","0","S/I","S/I","S/I","S/I"
"672","CIA. MINERA SANTA AMALIA","PLANTA CATEMU","V","SAN FELIPE","CATEMU","CATEMU 4","TRANQUE DE RELAVE","COBRE","6371856.09","313433.11","-32.7754","-70.9920","INACTIVO","EJE CENTRAL","20174.916438206","2400000","0","3600000","0","1222","S/I","S/I","11/30/1988"
"673","CIA. MINERA SANTA AMALIA","PLANTA CATEMU","V","SAN FELIPE","CATEMU","CATEMU 1","TRANQUE DE RELAVE","COBRE","6372244.50","313239.43","-32.7719","-70.9940","INACTIVO","AGUAS ABAJO","19911.26485756","414000","0","621000","0","127","S/I","S/I","6/13/1973"
"674","CIA. MINERA SANTA AMALIA","PLANTA CATEMU","V","SAN FELIPE","CATEMU","CATEMU 3","TRANQUE DE RELAVE","COBRE","6372191.58","313037.29","-32.7723","-70.9961","INACTIVO","AGUAS ABAJO","19722.209820136","572000","0","858000","0","S/I","S/I","S/I","S/I"
"675","DESCONOCIDO","DESCONOCIDO","IV","ELQUI","LA HIGUERA","DESCONOCIDO","TRANQUE DE RELAVE","COBRE","6749812.34","294517.06","-29.3641","-71.1169","ABANDONADO","S/I","18491.477356349","12160","0","18000","0","S/I","S/I","S/I","S/I"
"676","FELIPE NUÑEZ","PLANTA MIRANDA ","IV","ELQUI","ANDACOLLO","TRANQUE 5","TRANQUE DE RELAVE","ORO","6651533.41","299790.60","-30.2513","-71.0809","INACTIVO","AGUAS ARRIBA","1459.4785589868","145920","0","218880","0","992","S/I","S/I","9/28/1984"
"677","FELIPE NUÑEZ","PLANTA MIRANDA ","IV","ELQUI","ANDACOLLO","TRANQUE 6","TRANQUE DE RELAVE","ORO","6651479.96","299800.13","-30.2518","-71.0808","INACTIVO","AGUAS ARRIBA","1454.4276182524","145920","0","218880","0","992","S/I","S/I","9/28/1984"
"678","ANGLO AMERICAN SUR S.A.","LOS BRONCES","RM","SANTIAGO","LO BARNECHEA","PEREZ-CALDERA 1","TRANQUE DE RELAVE","COBRE","6325283.76","375052.60","-33.2041","-70.3406","INACTIVO","S/I","31426.205919425","12000000","0","18000000","0","310","855","9/28/2010","3/11/1992"
"679","ANGLO AMERICAN SUR S.A.","LOS BRONCES","RM","SANTIAGO","LO BARNECHEA","LOS PICHES","TRANQUE DE RELAVE","COBRE","6324470.96","374944.65","-33.2114","-70.3419","INACTIVO","S/I","31309.830565904","30333333","0","45500000","0","S/I","855","9/28/2010","S/I"
"680","ANGLO AMERICAN SUR S.A.","LOS BRONCES","RM","SANTIAGO","LO BARNECHEA","COPIHUE","TRANQUE DE RELAVE","COBRE","6325588.57","375113.99","-33.2014","-70.3399","INACTIVO","S/I","31496.133825209","30333333","0","  45,500,000 ","0","S/I","855","S/I","S/I"
"681","SOTRAMIN LTDA. TALTAL","PLANTA MANUEL RODRIGUEZ","II","ANTOFAGASTA","TALTAL","TRANQUE DE RELAVE 1","TRANQUE DE RELAVE","COBRE","7190122.51","351461.76","-25.3983","-70.4767","INACTIVO","AGUAS ARRIBA","105952.29172311","19000","0","28500","0","S/I","S/I","S/I","S/I"
"682","DESCONOCIDO","LOS PIMIENTOS","II","ANTOFAGASTA","TALTAL","LOS PIMIENTOS 2","TRANQUE DE RELAVE","COBRE-ORO","7188245.09","399275.36","-25.4193","-70.0016","ABANDONADO","AGUAS ARRIBA","107609.80688043","7680","0","11520","0","S/I","S/I","S/I","S/I"
"683","DESCONOCIDO","LOS PIMIENTOS","II","ANTOFAGASTA","TALTAL","LOS PIMIENTOS 4","TRANQUE DE RELAVE","COBRE-ORO","7188319.70","399183.29","-25.4186","-70.0025","ABANDONADO","AGUAS ARRIBA","107681.24784587","31500","0","47250","0","S/I","S/I","S/I","S/I"
"684","CIA. MINERA SOLEDAD","PLANTA SOLEDAD","II","ANTOFAGASTA","TALTAL","TRANQUE 1","TRANQUE DE RELAVE","ORO","7222378.50","444918.05","-25.1135","-69.5464","INACTIVO","AGUAS ARRIBA","150027.13255921","26880","0","40320","0","S/I","S/I","S/I","S/I"
"685","CIA. MINERA SOLEDAD","PLANTA SOLEDAD","II","ANTOFAGASTA","TALTAL","TRANQUE 2","TRANQUE DE RELAVE","ORO","7222400.73","444869.63","-25.1132","-69.5468","INACTIVO","AGUAS ARRIBA","150032.20455625","10080","0","15120","0","S/I","S/I","S/I","S/I"
"686","ENAMI","PLANTA JOSE ANTONIO MORENO","II","ANTOFAGASTA","TALTAL","JOSE MORENO 1","TRANQUE DE RELAVE","COBRE","7190378.50","351569.95","-25.3960","-70.4756","INACTIVO","EJE CENTRAL","106219.62950115","79200","0","118800","0","S/I","S/I","S/I","S/I"
"687","DANIEL AMIGO ","FAENA TALTAL","II","ANTOFAGASTA","TALTAL","TRANQUE DE RELAVE 1-2-3","TRANQUE DE RELAVE","ORO-COBRE","7190912.03","351870.27","-25.3913","-70.4725","ABANDONADO","AGUAS ARRIBA","106786.35140458","41800","0","62700","0","S/I","S/I","S/I","S/I"
"688","SLM SANTA ROSA","PLANTA EL TRAPICHE","IV","ELQUI","LA HIGUERA","EL TRAPICHE 1","TRANQUE DE RELAVE","COBRE-ORO","6750783.37","293287.61","-29.3551","-71.1294","INACTIVO","S/I","18943.898352291","9000","0","13500","0","S/I","S/I","S/I","S/I"
"689","SLM SANTA ROSA","PLANTA EL TRAPICHE","IV","ELQUI","LA HIGUERA","EL TRAPICHE 2","TRANQUE DE RELAVE","COBRE-ORO","6750748.97","293224.77","-29.3554","-71.1300","INACTIVO","AGUAS ARRIBA","18890.782173286","5656","0","8484","0","657","S/I","S/I","7/22/1985"
"690","ANTAWARA SpA","ANTAWARA","V","PETORCA","PETORCA","ANTAWARA","EMBALSE","COBRE","6435678.74","323507.53","-32.2016","-70.8725","ACTIVO","EMBALSE","8307.1751072325","49950","11366","89910","17050","1006","S/I","S/I","9/12/2016"
"691","CIA. CONTRACTUAL MINERA CANDELARIA","CANDELARIA","III","COPIAPO","TIERRA AMARILLA","LOS DIQUES","ESPESADO","COBRE","6953608.73","369909.88","-27.5351","-70.3174","ACTIVO","S/I","8927.1996494612","337078651","18925732","  600,000,000 ","  120,112,038 ","1468","291","3/3/2009","7/15/2016"
"692","DESCONOCIDO","LA DIAMANTINA","I","TAMARUGAL","POZO ALMONTE","TRANQUE","TRANQUE DE RELAVE","COBRE","7720863.20","428177.97","-20.6100","-69.6893","ABANDONADO","S/I","63642.162794599","1100","0","1650","0","S/I","S/I","S/I","S/I"
"693","EMPRESA EDUARDO LERY LERY EIRL","FAENA KATTIA","IV","CHOAPA","ILLAPEL","DEPOSITO ANTIGUO","TRANQUE DE RELAVE","COBRE","6527150.95","302878.30","-31.3735","-71.0727","INACTIVO","S/I","22752.49744721","6524","0","9786","0","S/I","S/I","S/I","S/I"
"694","SOC. MINERA SANTA ANA","COBRE OXIDADO 1-5","V","SAN FELIPE","PUTAENDO","COBRE OXIDADO 1-5","TRANQUE DE RELAVE","COBRE","6394399.97","334383.11","-32.5755","-70.7644","ABANDONADO","AGUAS ABAJO","19734.401658141","352666","S/I","529200","S/I","911","S/I","S/I","11/3/2008"
"695","SLM NANCY PRIMERA (TOMAS PONCE)","FAENA PONCE","IV","ELQUI","ANDACOLLO","PONCE ","TRANQUE DE RELAVE","COBRE-ORO","6651603.76","300159.54","-30.2507","-71.0770","ACTIVO","EJE CENTRAL","1833.5842403798","29424","11870","44137","17805","1031","S/I","S/I","7/7/2016"
