longitude,latitude,depth
9.954289,56.128066,1.161
9.954289,56.128066,1.154
9.954289,56.128066,1.168
9.954289,56.128066,1.145
9.954289,56.128066,1.133
9.954289,56.128066,1.102
9.954289,56.128066,1.084
9.954289,56.128066,1.094
9.954289,56.128066,1.063
9.954289,56.128066,1.063
9.954289,56.128066,1.108
9.954289,56.128066,1.095
9.954289,56.128066,1.115
9.954289,56.128066,1.112
9.954289,56.128066,1.096
9.954289,56.128066,1.098
9.954289,56.128066,1.103
9.954289,56.128066,1.108
9.954289,56.128066,1.114
9.954289,56.128066,1.122
9.954289,56.128066,1.115
9.954289,56.128066,1.114
9.954289,56.128066,1.138
9.954289,56.128067,1.155
9.954289,56.128067,1.188
9.954289,56.128067,1.244
9.954289,56.128067,1.333
9.954241,56.128086,0.644
9.954241,56.128086,0.445
9.954241,56.128086,0.351
9.954241,56.128086,0.593
9.95424,56.128086,0.486
9.95424,56.128087,0.47
9.95424,56.128087,0.439
9.95424,56.128087,0.431
9.95424,56.128087,0.42
9.95424,56.128087,0.44
9.95424,56.128087,0.432
9.95424,56.128087,0.411
9.954239,56.128087,0.415
9.954239,56.128087,0.42
9.954239,56.128087,0.419
9.954239,56.128087,0.416
9.954239,56.128087,0.409
9.95424,56.128087,0.406
9.95424,56.128087,0.412
9.954239,56.128087,0.428
9.954239,56.128087,0.423
9.95424,56.128087,0.428
9.95424,56.128087,0.448
9.95424,56.128087,0.457
9.95424,56.128087,0.456
9.95424,56.128087,0.466
9.95424,56.128087,0.481
9.95424,56.128087,0.472
9.95424,56.128087,0.471
9.95424,56.128087,0.482
9.95424,56.128087,0.503
9.954239,56.128087,0.467
9.954239,56.128087,0.503
9.954239,56.128087,0.508
9.954239,56.128087,0.468
9.954239,56.128087,0.471
9.954239,56.128087,0.288
9.954239,56.128087,0.288
9.954239,56.128087,0.288
9.954239,56.128087,0.288
9.954239,56.128087,0.288
9.954239,56.128087,0.288
9.954239,56.128087,0.288
9.954239,56.128087,0.288
9.954239,56.128087,0.288
9.95424,56.128087,0.288
9.95424,56.128087,0.288
9.95424,56.128087,0.469
9.95424,56.128087,0.676
9.95424,56.128087,0.67
9.95424,56.128087,0.668
9.95424,56.128087,0.669
9.95424,56.128087,0.683
9.95424,56.128087,0.684
9.95424,56.128087,0.477
9.95424,56.128087,0.45
9.954241,56.128087,0.432
9.954241,56.128087,0.432
9.954241,56.128087,0.485
9.954241,56.128087,0.445
9.954241,56.128087,0.453
9.954241,56.128087,0.473
9.954241,56.128087,0.521
9.954241,56.128087,0.548
9.954241,56.128087,0.6
9.954241,56.128087,0.653
9.954241,56.128087,0.729
9.95419,56.128105,0.883
9.95419,56.128105,0.872
9.95419,56.128105,0.866
